Frequency,Amplitude,Phase
0.000000e+00,1.722178e-11,3.141593e+00
3.261579e-05,6.098475e+03,1.186637e+00
6.523157e-05,2.421214e+03,1.319134e+00
9.784736e-05,2.122529e+03,1.500414e+00
1.304631e-04,1.360662e+03,1.087858e+00
1.630789e-04,1.295086e+03,1.712280e+00
1.956947e-04,1.002925e+03,1.746868e+00
2.283105e-04,8.332174e+02,2.175236e+00
2.609263e-04,9.226075e+02,1.148307e+00
2.935421e-04,2.527803e+02,-2.10E+00
3.261579e-04,8.143206e+02,1.280969e+00
3.587736e-04,5.522676e+02,2.231842e+00
3.913894e-04,7.429054e+02,8.452033e-01
4.240052e-04,6.991211e+02,9.499369e-01
4.566210e-04,4.731524e+02,1.468976e+00
4.892368e-04,1.921736e+02,7.630438e-01
5.218526e-04,3.027147e+02,2.419845e+00
5.544684e-04,4.964010e+02,1.868531e+00
5.870841e-04,3.374434e+02,3.491266e-01
6.196999e-04,3.529592e+02,3.197183e-01
6.523157e-04,4.517058e+02,1.840139e-01
6.849315e-04,3.776447e+02,1.743556e+00
7.175473e-04,1.134383e+02,2.373858e+00
7.501631e-04,170,-1.25E-01
7.827789e-04,210,1.870230e+00
8.153947e-04,2.608877e+02,9.049241e-01
8.480104e-04,230,1.989011e+00
8.806262e-04,190,1.864930e+00
9.132420e-04,1.458852e+02,1.927432e+00
9.458578e-04,1.901664e+02,-1.28E+00
9.784736e-04,3.339124e+02,2.206659e+00
1.011089e-03,4.143879e+02,1.340776e+00
1.043705e-03,2.276404e+02,2.624308e+00
1.076321e-03,4.332763e+02,1.096046e+00
1.108937e-03,3.019796e+02,2.868042e+00
1.141553e-03,3.615598e+02,1.026791e+00
1.174168e-03,4.210751e+02,8.412182e-01
1.206784e-03,1.459710e+02,2.467871e+00
1.239400e-03,3.392489e+02,8.735565e-01
1.272016e-03,1.122423e+02,-5.94E-01
1.304631e-03,2.282310e+02,1.687232e+00
1.337247e-03,6.838519e+01,1.943149e+00
1.369863e-03,65,9.700244e-01
1.402479e-03,62,2.632752e-01
1.435095e-03,5.856550e+01,3.852352e-01
1.467710e-03,60,7.082246e-01
1.500326e-03,65,1.307968e+00
1.532942e-03,70,1.840831e+00
1.565558e-03,75,2.368778e+00
1.598174e-03,80,-7.77E-01
1.630789e-03,85,1.304344e+00
1.663405e-03,90,2.355391e+00
1.696021e-03,95,1.578895e+00
1.728637e-03,1.083110e+02,1.646393e+00
1.761252e-03,90,1.663800e+00
1.793868e-03,71,1.249637e+00
1.826484e-03,53,1.437859e+00
1.859100e-03,3.450968e+01,1.517799e+00
1.891716e-03,8.737754e+01,2.144833e+00
1.924331e-03,7.130313e+01,-2.14E+00
1.956947e-03,2.026933e+02,1.195181e+00
1.989563e-03,1.266557e+01,1.558216e+00
2.022179e-03,1.405178e+02,1.811549e+00
2.054795e-03,1.473314e+02,1.303028e+00
2.087410e-03,9.445291e+01,1.916001e+00
2.120026e-03,3.948500e+01,-2.84E+00
2.152642e-03,1.526124e+02,1.739688e+00
