Frequency,Amplitude,Phase
0.000000e+00,1.427125e-11,0.000000e+00
6.226650e-05,2.078176e+03,1.332600e+00
1.245330e-04,1.162905e+03,1.298483e+00
1.867995e-04,6.823282e+02,1.647779e+00
2.490660e-04,4.958079e+02,1.051241e+00
3.113325e-04,491,1.132397e+00
3.735990e-04,4.861649e+02,1.055541e+00
4.358655e-04,3.429124e+02,2.175529e+00
4.981320e-04,2.909236e+02,7.399769e-01
5.603985e-04,2.586894e+02,1.277394e+00
6.226650e-04,213,2.171459e+00
6.849315e-04,1.671985e+02,2.653421e+00
7.471980e-04,194.5,2.459860e+00
8.094645e-04,2.218434e+02,1.688690e+00
8.717310e-04,1.297571e+02,6.902646e-01
9.339975e-04,2.813412e+02,1.999511e+00
9.962640e-04,196,-2.45E-01
1.058531e-03,1.114294e+02,2.877074e+00
1.120797e-03,2.020355e+02,2.044541e+00
1.183064e-03,5.838409e+01,8.464235e-01
1.245330e-03,1.037443e+02,1.591329e+00
1.307597e-03,8.475814e+01,1.206277e+00
1.369863e-03,1.145423e+02,8.867290e-02
1.432130e-03,4.857590e+01,1.213759e+00
1.494396e-03,1.803054e+02,1.258554e+00
1.556663e-03,1.036895e+02,2.201678e+00
1.618929e-03,1.738868e+02,8.576791e-01
1.681196e-03,1.084819e+02,1.124332e+00
1.743462e-03,1.404202e+02,8.854243e-01
1.805729e-03,1.702642e+02,1.881378e+00
1.867995e-03,8.234971e+01,-2.16E+00
1.930262e-03,3.938426e+01,6.655802e-01
1.992528e-03,6.178493e+01,1.339659e+00
2.054795e-03,7.997812e+01,9.110974e-01
2.117061e-03,5.713672e+01,9.709744e-01
2.179328e-03,6.526510e+01,2.302561e+00
2.241594e-03,3.346296e+00,-1.46E+00
2.303861e-03,3.974829e+01,1.681344e+00
2.366127e-03,5.428157e+01,2.230135e+00
2.428394e-03,3.353100e+01,3.049975e+00
2.490660e-03,1.238135e+01,-3.11E-01
2.552927e-03,6.133914e+01,6.335222e-01
2.615193e-03,2.714478e+01,3.587519e-01
2.677460e-03,4.799825e+01,-1.22E+00
2.739726e-03,73,2.214636e+00
2.801993e-03,9.822699e+01,1.842519e+00
2.864259e-03,1.828130e+01,1.529396e+00
2.926526e-03,6.749685e+01,1.833504e+00
2.988792e-03,8.392022e+01,2.665622e+00
3.051059e-03,1.135858e+02,1.601999e+00
3.113325e-03,5.372722e+01,1.880156e+00
3.175592e-03,7.322016e-01,-1.40E-02
3.237858e-03,5.255638e+01,1.899314e+00
3.300125e-03,7.007978e+01,1.731721e+00
3.362391e-03,4.177617e+01,5.540048e-01
3.424658e-03,7.883558e+01,1.231031e+00
3.486924e-03,4.684612e+01,2.180715e+00
3.549191e-03,7.404390e+01,1.283955e+00
3.611457e-03,1.884057e+01,-8.30E-01
3.673724e-03,3.080644e+01,1.582705e+00
3.735990e-03,6.067618e+01,1.176668e+00
3.798257e-03,4.231089e+01,2.004257e+00
3.860523e-03,4.668722e+01,5.935089e-01
3.922790e-03,6.589537e+00,4.028267e-01
3.985056e-03,3.869041e+01,1.794552e+00
4.047323e-03,3.562005e+01,1.530157e+00
4.109589e-03,5.875448e+01,1.469694e+00
4.171856e-03,3.951026e+01,2.237217e+00
4.234122e-03,3.030570e+01,6.812255e-01
4.296389e-03,3.680176e+01,2.187078e+00
4.358655e-03,1.709958e+01,-1.53E+00
4.420922e-03,3.157982e+01,1.218534e+00
4.483188e-03,3.268755e+01,7.541585e-01
4.545455e-03,4.536975e+01,5.813397e-01
4.607721e-03,4.507169e+01,2.032256e+00
4.669988e-03,4.334584e+01,2.790475e+00
4.732254e-03,3.501402e+01,4.096966e-01
4.794521e-03,2.894541e+01,-2.06E+00
4.856787e-03,3.602357e+01,7.282394e-01
4.919054e-03,3.277812e+01,1.837856e+00
4.981320e-03,5.583918e+01,2.214335e+00
5.043587e-03,1.514327e+01,1.130396e+00
5.105853e-03,3.142546e+01,1.419052e+00
5.168120e-03,1.709611e+01,1.405791e+00
5.230386e-03,1.012768e+01,1.893307e+00
5.292653e-03,5.887761e+01,1.865698e+00
5.354919e-03,2.699984e+01,1.260137e+00
5.417186e-03,1.023504e+01,7.758353e-01
5.479452e-03,14,-7.96E-02
5.541719e-03,1.810369e+01,1.557934e+00
5.603985e-03,4.644460e+01,1.170988e+00
5.666252e-03,6.492817e+01,2.420164e+00
5.728518e-03,1.684520e+01,1.794903e+00
5.790785e-03,5.843001e+01,1.698625e+00
5.853051e-03,3.492422e+01,1.657164e+00
5.915318e-03,1.051657e+01,1.234548e+00
5.977584e-03,1.576154e+01,1.756751e+00
6.039851e-03,3.423315e+01,1.783227e+00
6.102117e-03,1.632401e+01,1.331984e+00
6.164384e-03,6.915084e+01,1.949145e+00
6.226650e-03,1.986479e+01,2.383683e+00
6.288917e-03,5.148614e+01,1.347590e+00
6.351183e-03,2.162404e+01,3.672412e-01
6.413450e-03,3.001417e+01,1.358020e+00
6.475716e-03,3.566302e+01,1.584485e+00
6.537983e-03,1.078516e+01,2.192234e+00
6.600249e-03,4.800522e+00,7.015275e-01
6.662516e-03,3.943139e+01,1.969552e+00
6.724782e-03,2.542782e+01,1.110298e+00
6.787049e-03,3.222643e+01,1.172673e+00
6.849315e-03,6.433020e+01,1.781895e+00
6.911582e-03,3.637935e+01,1.056648e+00
6.973848e-03,3.426678e+01,1.395120e+00
7.036115e-03,2.451228e+01,1.951482e+00
7.098381e-03,4.936282e+01,1.648455e+00
7.160648e-03,4.054735e+01,1.210215e+00
7.222914e-03,5.617974e+01,1.684761e+00
7.285181e-03,5.406198e+01,1.548431e+00
7.347447e-03,3.845730e+01,1.751384e+00
7.409714e-03,1.346876e+01,1.235384e+00
7.471980e-03,1.633965e+01,-1.96E-01
7.534247e-03,1.822992e+01,1.935969e+00
7.596513e-03,2.730339e+01,2.223168e+00
7.658780e-03,2.321025e+01,-5.66E-02
7.721046e-03,2.434455e+01,1.002232e+00
7.783313e-03,2.033982e+01,9.668368e-01
7.845579e-03,3.576034e+01,2.081909e+00
7.907846e-03,1.082378e+01,-2.57E-01
7.970112e-03,5.683066e+01,1.151353e-01
8.032379e-03,1.925107e+01,1.799169e+00
8.094645e-03,2.793290e+01,2.296636e-01
8.156912e-03,2.614554e+01,-5.93E-02
8.219178e-03,20.5,4.054689e-01
8.281445e-03,1.502190e+01,1.139266e+00
8.343711e-03,3.572229e+01,-2.89E+00
8.405978e-03,2.594094e+01,1.310970e+00
8.468244e-03,2.731342e+01,5.920878e-02
8.530511e-03,9.017580e+00,-1.93E+00
8.592777e-03,1.988361e+01,2.608242e+00
8.655044e-03,1.522719e+01,1.136643e+00
8.717310e-03,2.479077e+00,-3.12E+00
8.779577e-03,4.630532e+01,2.933192e+00
8.841843e-03,2.783926e+01,2.323709e+00
8.904110e-03,3.849038e+01,5.252819e-01
8.966376e-03,2.590995e+01,-3.13E+00
9.028643e-03,7.320895e+00,1.138102e+00
